THREE_Q,35528.2259721,30.2977087411,43345.6389478,27.335543987
FULL,35374.6946077,30.5460046787,43303.8825583,30.2692144911
QUARTER,35477.8367982,30.1773212554,43372.0714924,32.2652457283
EMPTY,35432.5770099,30.8149869642,43317.640824,30.2549023717
HALF,35582.5536032,29.174907049,43071.6091987,26.1614527679
